Produto, Preço Total
Lápis, R$375.00
Mochila de Viagem, R$3000.00
Mala de Rodinhas, R$4000.00
Adaptador de Tomada, R$800.00
Fita Adesiva, R$600.00
Tesoura, R$750.00
Estojo, R$875.00
Regua, R$490.00
Marcador de Texto, R$800.00
Impressora, R$6000.00
Scanner, R$3600.00
Câmera Fotográfica, R$7500.00
Tripé, R$2000.00
Lente Câmera, R$3000.00
Cartão de Memória, R$2000.00
Pen Drive, R$2400.00
HD Externo, R$4500.00
SSD Externo, R$4500.00
Cabo USB, R$1250.00
Cabo HDMI, R$1800.00
Cabo Lightning, R$1800.00
Carregador de Celular, R$2000.00
Teclado, R$2400.00
Mouse, R$2250.00
Mousepad, R$1000.00
Fone Bluetooth, R$3500.00
Caixa de Som, R$4000.00
Headset Gamer, R$3600.00
Controle de Video Game, R$4200.00
Video Game, R$10000.00
Joystick, R$3000.00
Cadeira Gamer, R$6000.00
Mesa Gamer, R$3200.00
Luminária, R$3000.00
Abajur, R$1800.00
Cortina, R$2000.00
Tapete, R$2800.00
Almofada, R$2000.00
Cobertor, R$2250.00
Edredom, R$3000.00
Travesseiro, R$2100.00
Colchão, R$6000.00
Berço, R$4500.00
Carrinho de Bebê, R$4000.00
Cadeirinha de Carro, R$3200.00
Brinquedo Educativo, R$2400.00
Boneca, R$1500.00
Carrinho de Brinquedo, R$1600.00
Jogo de Tabuleiro, R$1500.00
Quebra-Cabeça, R$1500.00
Livro Infantil, R$1500.00
Canetinha, R$1250.00
Lápis de Cor, R$1200.00
Mochila Escolar, R$3000.00
Estojo Escolar, R$1500.00
Caderno, R$1000.00
Agenda, R$1050.00
Lanterna, R$1600.00
Bateria, R$1250.00
Carregador Solar, R$1500.00
Capa de Chuva, R$1400.00
Guarda-Chuva, R$1500.00
Relógio Despertador, R$1800.00
Roupão, R$2000.00
Toalha, R$1500.00
Tapete de Banheiro, R$1400.00
Copo, R$1000.00
Prato, R$1000.00
Talheres, R$1800.00
Panela, R$2250.00
Frigideira, R$2000.00
Liquidificador, R$2500.00
Batedeira, R$2400.00
Cafeteira, R$2500.00
Chaleira Elétrica, R$2400.00
Sanduicheira, R$1500.00
Forno Elétrico, R$4000.00
Micro-ondas, R$4800.00
Geladeira, R$10500.00
Fogão, R$8000.00
Máquina de Lavar, R$7500.00
Secadora, R$6000.00
Aspirador de Pó, R$4800.00
Ferro de Passar, R$2250.00
Torradeira, R$2000.00
Cadeira Gamer Pro, R$4500.00
Placa de Captura 4K, R$7000.00
Microfone de Mesa, R$2100.00
Webcam Streaming, R$2700.00
Monitor 4K, R$10500.00
HD Interno 4TB, R$4800.00
HD Interno 8TB, R$4400.00
Adaptador HDMI, R$2500.00
Cabo USB-C, R$2400.00
Dock USB, R$2500.00
Fone Bluetooth Gaming, R$2750.00
Mouse Gamer 7200 DPI, R$6000.00
Teclado Gamer 104 Teclas, R$5000.00
Monitor LED 24", R$6650.00
Monitor Curvo 34", R$8000.00
GPU RX 6800, R$10000.00
GPU RX 6900, R$8000.00
Processador Ryzen 7, R$11000.00
Processador Ryzen 9, R$11400.00
Placa de Rede 10Gb, R$2400.00
SSD 256GB, R$5250.00
SSD 4TB, R$10500.00
HD 1TB, R$4000.00
HD 3TB, R$5400.00
Headset Wireless, R$4200.00
